index,X_position,X_speed,Y_position,Y_speed,Z_position,Z_speed,A_position,A_speed,B_position,B_speed,C_position,C_speed,image,delay
0,28814,100,50436,100,26652,100,0,100,9000,100,2188,100,1,0
1,25203,100,50848,100,27318,100,1000,100,9000,100,2188,100,1,0
2,21370,100,50915,100,27318,100,2000,100,9000,100,2188,100,1,0
3,18014,100,49653,100,27540,100,3000,100,9000,100,2188,100,1,0
4,14958,100,48481,100,27540,100,4000,100,9000,100,2188,100,1,0
5,12402,100,46981,100,27984,100,5000,100,9000,100,2188,100,1,0
6,10024,100,44615,100,28095,100,6000,100,9000,100,2188,100,1,0
7,7968,100,42093,100,28539,100,7000,100,9000,100,2188,100,1,0
8,6368,100,39293,100,28761,100,8000,100,9000,100,2188,100,1,0
9,4946,100,35960,100,28983,100,9000,100,9000,100,2188,100,1,0
10,4446,100,32560,100,29205,100,10000,100,9000,100,2188,100,1,0
11,4346,100,28838,100,29427,100,11000,100,9000,100,2188,100,1,0
12,4996,100,25127,100,29649,100,12000,100,9000,100,2188,100,1,0
13,6218,100,21849,100,29760,100,13000,100,9000,100,2188,100,1,0
14,7907,100,19015,100,29760,100,14000,100,9000,100,2188,100,1,0
15,10051,100,16659,100,29760,100,15000,100,9000,100,2188,100,1,0
16,12595,100,13815,100,30104,100,16000,100,9000,100,2188,100,1,0
17,15861,100,10815,100,30770,100,17000,100,9000,100,2188,100,1,0
18,19061,100,7815,100,31949,100,18000,100,9000,100,2188,100,1,0
19,22261,100,5481,100,33154,100,19000,100,9000,100,2188,100,1,0
20,25461,100,4031,100,34375,100,20000,100,9000,100,2188,100,1,0
21,28661,100,3025,100,35485,100,21000,100,9000,100,2188,100,1,0
22,31861,100,2469,100,36373,100,22000,100,9000,100,2188,100,1,0
23,35061,100,2357,100,37259,100,23000,100,9000,100,2188,100,1,0
24,37817,100,2812,100,37925,100,24000,100,9000,100,2188,100,1,0
25,41183,100,3723,100,38369,100,25000,100,9000,100,2188,100,1,0
26,43883,100,5355,100,38369,100,26000,100,9000,100,2188,100,1,0
27,46483,100,7621,100,38369,100,27000,100,9000,100,2188,100,1,0
28,49083,100,10365,100,37925,100,28000,100,9000,100,2188,100,1,0
29,51239,100,13692,100,37304,100,29000,100,9000,100,2188,100,1,0
30,52773,100,17436,100,36416,100,30000,100,9000,100,2188,100,1,0
31,53732,100,21326,100,35528,100,31000,100,9000,100,2188,100,1,0
32,53942,100,25219,100,34682,100,32000,100,9000,100,2188,100,1,0
33,53526,100,29119,100,33423,100,33000,100,9000,100,2188,100,1,0
34,52360,100,32897,100,32424,100,34000,100,9000,100,2188,100,1,0
35,50838,100,37140,100,31143,100,35000,100,9000,100,2188,100,1,0
36,48450,100,40674,100,30033,100,36000,100,9000,100,2188,100,1,0
37,45062,100,43874,100,28923,100,37000,100,9000,100,2188,100,1,0
38,41430,100,46630,100,28259,100,38000,100,9000,100,2188,100,1,0
39,37264,100,48986,100,27371,100,39000,100,9000,100,2188,100,1,0
40,31933,100,49921,100,26927,100,40000,100,9000,100,2188,100,1,0
41,27518,100,50921,100,26927,100,41000,100,9000,100,2188,100,1,0
